student_id,product,skill,level,class_id
L1902383820,【販売停止】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1902383820,【販売停止】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1902383820,【販売停止】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1902383820,【販売停止】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1902383820,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1902383820,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1902383820,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1902386894,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1904399765,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1904399765,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1904399765,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1905406753,【e-text】English Advantage Foundation,General English,Level 0,1738
L1905406944,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1905406944,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1905406944,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1905406944,English Advantage 演習 1回,General English,Level 0,1738
L1905407797,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1905407797,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1905407797,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1905409930,【販売停止】English Advantage 演習 5回,General English,Level 0,1738
L1905409930,【販売停止】English Advantage 演習 2回,General English,Level 0,1738
L1905409930,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1905409930,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1905411823,【販売停止】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1905411823,【販売停止】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1905411823,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1907422630,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1907422630,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1907422630,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1907423182,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1907423182,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1907424944,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1907425094,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1907425094,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1908430258,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1908430258,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1908430258,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1908430258,English Advantage 演習 1回,General English,Level 0,1738
L1908431432,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1908431432,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1908431432,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1908431432,English Advantage 演習 5回,General English,Level 0,1738
L1908432171,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1908432171,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1908432171,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1908432171,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1908432171,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1908432171,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1908432171,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1908432171,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1909436951,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1909436951,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1909436951,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1909439605,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1909439605,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1909439605,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1909439605,English Advantage 演習 3回,General English,Level 0,1738
L1909441560,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1909441560,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1910443519,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1910443519,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1910444360,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1911450800,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1911450800,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1911450800,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1911450800,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1912457184,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1912457184,English Advantage 演習 5回,General English,Level 0,1738
L1912457184,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1912457184,English Advantage 演習 3回,General English,Level 0,1738
L1912459442,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1912459442,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1912459442,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1912459442,English Advantage 演習 5回,General English,Level 0,1738
L1912459442,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1912459442,English Advantage 演習 4回,General English,Level 0,1738
L1912459876,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1912459876,【e-text】English Advantage Foundation,General English,Level 0,1738
L1912460214,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1912460214,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1912460214,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
